STATE/UT,Year,CAUSE,Total Male,Total Female,Total
GUJARAT,2008,Others (Please Specify),447,147,594
GUJARAT,2008,Total,3735,2430,6165
GUJARAT,2008,Total Salaried,703,94,797
GUJARAT,2008,Total Self-employed,1775,206,1981
GUJARAT,2009,House Wife,0,1736,1736
GUJARAT,2009,Service (Government),43,26,69
GUJARAT,2009,Service (Private),581,48,629
GUJARAT,2009,Public Sector Undertaking,91,24,115
GUJARAT,2009,Student,174,154,328
GUJARAT,2009,Unemployed,499,80,579
GUJARAT,2009,Self-employed (Business activity),336,2,338
GUJARAT,2009,Professional Activity,509,43,552
GUJARAT,2009,Farming/Agriculture Activity,498,90,588
GUJARAT,2009,Others (Please Specify),547,164,711
GUJARAT,2009,Retired Person,94,24,118
GUJARAT,2009,Others (Please Specify),299,94,393
GUJARAT,2009,Total,3671,2485,6156
GUJARAT,2009,Total Salaried,715,98,813
GUJARAT,2009,Total Self-employed,1890,299,2189
GUJARAT,2010,House Wife,0,1575,1575
GUJARAT,2010,Service (Government),62,13,75
GUJARAT,2010,Service (Private),524,98,622
GUJARAT,2010,Public Sector Undertaking,77,24,101
GUJARAT,2010,Student,151,142,293
GUJARAT,2010,Unemployed,548,61,609
GUJARAT,2010,Self-employed (Business activity),428,39,467
GUJARAT,2010,Professional Activity,321,19,340
GUJARAT,2010,Farming/Agriculture Activity,458,65,523
GUJARAT,2010,Others (Please Specify),599,130,729
GUJARAT,2010,Retired Person,99,52,151
GUJARAT,2010,Others (Please Specify),546,176,722
GUJARAT,2010,Total,3813,2394,6207
GUJARAT,2010,Total Salaried,663,135,798
GUJARAT,2010,Total Self-employed,1806,253,2059
GUJARAT,2011,House Wife,0,1571,1571
GUJARAT,2011,Service (Government),60,14,74
GUJARAT,2011,Service (Private),581,92,673
GUJARAT,2011,Public Sector Undertaking,98,26,124
GUJARAT,2011,Student,178,148,326
GUJARAT,2011,Unemployed,443,48,491
GUJARAT,2011,Self-employed (Business activity),312,1,313
GUJARAT,2011,Professional Activity,531,61,592
GUJARAT,2011,Farming/Agriculture Activity,473,105,578
GUJARAT,2011,Others (Please Specify),653,158,811
GUJARAT,2011,Retired Person,103,54,157
GUJARAT,2011,Others (Please Specify),480,192,672
GUJARAT,2011,Total,3912,2470,6382
GUJARAT,2011,Total Salaried,739,132,871
GUJARAT,2011,Total Self-employed,1969,325,2294
GUJARAT,2012,House Wife,0,1795,1795
GUJARAT,2012,Service (Government),75,16,91
GUJARAT,2012,Service (Private),758,137,895
GUJARAT,2012,Public Sector Undertaking,115,35,150
GUJARAT,2012,Student,215,173,388
GUJARAT,2012,Unemployed,511,46,557
GUJARAT,2012,Self-employed (Business activity),265,4,269
GUJARAT,2012,Professional Activity,478,32,510
GUJARAT,2012,Farming/Agriculture Activity,472,92,564
GUJARAT,2012,Others (Please Specify),737,154,891
GUJARAT,2012,Retired Person,139,47,186
GUJARAT,2012,Others (Please Specify),597,217,814
GUJARAT,2012,Total,4362,2748,7110
GUJARAT,2012,Total Salaried,948,188,1136
GUJARAT,2012,Total Self-employed,1952,282,2234
HARYANA,2001,House Wife,0,297,297
HARYANA,2001,Service (Government),73,21,94
HARYANA,2001,Service (Private),98,47,145
HARYANA,2001,Public Sector Undertaking,66,28,94
HARYANA,2001,Student,87,41,128
HARYANA,2001,Unemployed,227,60,287
HARYANA,2001,Self-employed (Business activity),57,0,57
HARYANA,2001,Professional Activity,64,1,65
HARYANA,2001,Farming/Agriculture Activity,133,12,145
HARYANA,2001,Others (Please Specify),103,28,131
HARYANA,2001,Retired Person,18,4,22
HARYANA,2001,Others (Please Specify),438,104,542
HARYANA,2001,Total,1364,643,2007
HARYANA,2001,Total Salaried,237,96,333
HARYANA,2001,Total Self-employed,357,41,398
HARYANA,2002,House Wife,0,371,371
HARYANA,2002,Service (Government),66,31,97
HARYANA,2002,Service (Private),208,35,243
HARYANA,2002,Public Sector Undertaking,65,14,79
HARYANA,2002,Student,99,58,157
HARYANA,2002,Unemployed,194,11,205
HARYANA,2002,Self-employed (Business activity),39,0,39
HARYANA,2002,Professional Activity,32,1,33
HARYANA,2002,Farming/Agriculture Activity,167,23,190
HARYANA,2002,Others (Please Specify),219,11,230
HARYANA,2002,Retired Person,8,9,17
HARYANA,2002,Others (Please Specify),473,66,539
HARYANA,2002,Total,1570,630,2200
HARYANA,2002,Total Salaried,339,80,419
HARYANA,2002,Total Self-employed,457,35,492
HARYANA,2003,House Wife,0,321,321
HARYANA,2003,Service (Government),68,10,78
HARYANA,2003,Service (Private),190,36,226
HARYANA,2003,Public Sector Undertaking,54,17,71
HARYANA,2003,Student,86,39,125
HARYANA,2003,Unemployed,184,28,212
HARYANA,2003,Self-employed (Business activity),135,1,136
HARYANA,2003,Professional Activity,33,0,33
HARYANA,2003,Farming/Agriculture Activity,192,15,207
HARYANA,2003,Others (Please Specify),187,73,260
HARYANA,2003,Retired Person,23,7,30
HARYANA,2003,Others (Please Specify),461,67,528
HARYANA,2003,Total,1613,614,2227
HARYANA,2003,Total Salaried,312,63,375
HARYANA,2003,Total Self-employed,547,89,636
HARYANA,2004,House Wife,0,330,330
HARYANA,2004,Service (Government),67,16,83
HARYANA,2004,Service (Private),172,37,209
HARYANA,2004,Public Sector Undertaking,50,10,60
HARYANA,2004,Student,79,38,117
HARYANA,2004,Unemployed,187,24,211
HARYANA,2004,Self-employed (Business activity),89,0,89
HARYANA,2004,Professional Activity,33,0,33
HARYANA,2004,Farming/Agriculture Activity,144,16,160
HARYANA,2004,Others (Please Specify),176,40,216
HARYANA,2004,Retired Person,9,0,9
HARYANA,2004,Others (Please Specify),448,117,565
HARYANA,2004,Total,1454,628,2082
HARYANA,2004,Total Salaried,289,63,352
HARYANA,2004,Total Self-employed,442,56,498
HARYANA,2005,House Wife,0,303,303
HARYANA,2005,Service (Government),37,6,43
HARYANA,2005,Service (Private),144,11,155
HARYANA,2005,Public Sector Undertaking,15,5,20
HARYANA,2005,Student,67,34,101
HARYANA,2005,Unemployed,146,13,159
HARYANA,2005,Self-employed (Business activity),71,0,71
HARYANA,2005,Professional Activity,18,1,19
HARYANA,2005,Farming/Agriculture Activity,128,12,140
HARYANA,2005,Others (Please Specify),202,19,221
HARYANA,2005,Retired Person,11,5,16
HARYANA,2005,Others (Please Specify),654,144,798
HARYANA,2005,Total,1493,553,2046
HARYANA,2005,Total Salaried,196,22,218
HARYANA,2005,Total Self-employed,419,32,451
HARYANA,2006,House Wife,0,319,319
HARYANA,2006,Service (Government),49,10,59
HARYANA,2006,Service (Private),321,54,375
HARYANA,2006,Public Sector Undertaking,78,21,99
HARYANA,2006,Student,86,40,126
HARYANA,2006,Unemployed,243,15,258
HARYANA,2006,Self-employed (Business activity),89,12,101
HARYANA,2006,Professional Activity,24,2,26
HARYANA,2006,Farming/Agriculture Activity,181,9,190
HARYANA,2006,Others (Please Specify),218,15,233
HARYANA,2006,Retired Person,54,1,55
HARYANA,2006,Others (Please Specify),423,52,475
HARYANA,2006,Total,1766,550,2316
HARYANA,2006,Total Salaried,448,85,533
HARYANA,2006,Total Self-employed,512,38,550
HARYANA,2007,House Wife,0,356,356
HARYANA,2007,Service (Government),64,15,79
HARYANA,2007,Service (Private),224,22,246
HARYANA,2007,Public Sector Undertaking,75,12,87
HARYANA,2007,Student,80,42,122
HARYANA,2007,Unemployed,259,23,282
HARYANA,2007,Self-employed (Business activity),86,2,88
HARYANA,2007,Professional Activity,57,0,57
HARYANA,2007,Farming/Agriculture Activity,179,0,179
HARYANA,2007,Others (Please Specify),121,42,163
HARYANA,2007,Retired Person,73,2,75
HARYANA,2007,Others (Please Specify),634,65,699
HARYANA,2007,Total,1852,581,2433
HARYANA,2007,Total Salaried,363,49,412
HARYANA,2007,Total Self-employed,443,44,487
HARYANA,2008,House Wife,0,366,366
HARYANA,2008,Service (Government),90,3,93
HARYANA,2008,Service (Private),239,11,250
HARYANA,2008,Public Sector Undertaking,92,4,96
HARYANA,2008,Student,92,43,135
HARYANA,2008,Unemployed,159,24,183
HARYANA,2008,Self-employed (Business activity),38,3,41
HARYANA,2008,Professional Activity,50,0,50
HARYANA,2008,Farming/Agriculture Activity,150,0,150
HARYANA,2008,Others (Please Specify),123,21,144
HARYANA,2008,Retired Person,8,4,12
HARYANA,2008,Others (Please Specify),933,203,1136
HARYANA,2008,Total,1974,682,2656
HARYANA,2008,Total Salaried,421,18,439
HARYANA,2008,Total Self-employed,361,24,385
HARYANA,2009,House Wife,0,441,441
HARYANA,2009,Service (Government),80,6,86
HARYANA,2009,Service (Private),253,32,285
HARYANA,2009,Public Sector Undertaking,64,7,71
HARYANA,2009,Student,83,32,115
HARYANA,2009,Unemployed,220,33,253
HARYANA,2009,Self-employed (Business activity),49,0,49
HARYANA,2009,Professional Activity,28,0,28
HARYANA,2009,Farming/Agriculture Activity,225,5,230
HARYANA,2009,Others (Please Specify),164,4,168
HARYANA,2009,Retired Person,0,0,0
HARYANA,2009,Others (Please Specify),649,128,777
HARYANA,2009,Total,1815,688,2503
HARYANA,2009,Total Salaried,397,45,442
HARYANA,2009,Total Self-employed,466,9,475
HARYANA,2010,House Wife,0,364,364
HARYANA,2010,Service (Government),40,45,85
HARYANA,2010,Service (Private),194,27,221
HARYANA,2010,Public Sector Undertaking,11,5,16
HARYANA,2010,Student,119,29,148
HARYANA,2010,Unemployed,347,37,384
HARYANA,2010,Self-employed (Business activity),46,0,46
HARYANA,2010,Professional Activity,45,0,45
HARYANA,2010,Farming/Agriculture Activity,281,16,297
HARYANA,2010,Others (Please Specify),553,50,603
HARYANA,2010,Retired Person,0,0,0
HARYANA,2010,Others (Please Specify),542,144,686
HARYANA,2010,Total,2178,717,2895
HARYANA,2010,Total Salaried,245,77,322
HARYANA,2010,Total Self-employed,925,66,991
HARYANA,2011,House Wife,0,416,416
HARYANA,2011,Service (Government),72,7,79
HARYANA,2011,Service (Private),193,20,213
HARYANA,2011,Public Sector Undertaking,20,5,25
HARYANA,2011,Student,129,51,180
HARYANA,2011,Unemployed,332,44,376
HARYANA,2011,Self-employed (Business activity),62,0,62
HARYANA,2011,Professional Activity,24,0,24
HARYANA,2011,Farming/Agriculture Activity,350,34,384
HARYANA,2011,Others (Please Specify),242,18,260
HARYANA,2011,Retired Person,2,0,2
HARYANA,2011,Others (Please Specify),1038,186,1224
HARYANA,2011,Total,2464,781,3245
HARYANA,2011,Total Salaried,285,32,317
HARYANA,2011,Total Self-employed,678,52,730
HARYANA,2012,House Wife,0,389,389
HARYANA,2012,Service (Government),48,3,51
HARYANA,2012,Service (Private),235,12,247
HARYANA,2012,Public Sector Undertaking,52,5,57
HARYANA,2012,Student,109,33,142
HARYANA,2012,Unemployed,293,34,327
HARYANA,2012,Self-employed (Business activity),45,0,45
HARYANA,2012,Professional Activity,41,0,41
HARYANA,2012,Farming/Agriculture Activity,251,25,276
HARYANA,2012,Others (Please Specify),626,137,763
HARYANA,2012,Retired Person,3,0,3
HARYANA,2012,Others (Please Specify),368,118,486
HARYANA,2012,Total,2071,756,2827
HARYANA,2012,Total Salaried,335,20,355
HARYANA,2012,Total Self-employed,963,162,1125
HIMACHAL PRADESH,2001,House Wife,0,84,84
HIMACHAL PRADESH,2001,Service (Government),8,3,11
HIMACHAL PRADESH,2001,Service (Private),24,0,24
HIMACHAL PRADESH,2001,Public Sector Undertaking,7,0,7
HIMACHAL PRADESH,2001,Student,8,11,19
HIMACHAL PRADESH,2001,Unemployed,31,7,38
HIMACHAL PRADESH,2001,Self-employed (Business activity),9,0,9
HIMACHAL PRADESH,2001,Professional Activity,2,1,3
HIMACHAL PRADESH,2001,Farming/Agriculture Activity,22,0,22
HIMACHAL PRADESH,2001,Others (Please Specify),13,6,19
HIMACHAL PRADESH,2001,Retired Person,1,0,1
HIMACHAL PRADESH,2001,Others (Please Specify),52,18,70
HIMACHAL PRADESH,2001,Total,177,130,307
HIMACHAL PRADESH,2001,Total Salaried,39,3,42
HIMACHAL PRADESH,2001,Total Self-employed,46,7,53
HIMACHAL PRADESH,2002,House Wife,0,83,83
HIMACHAL PRADESH,2002,Service (Government),11,2,13
HIMACHAL PRADESH,2002,Service (Private),12,0,12
HIMACHAL PRADESH,2002,Public Sector Undertaking,4,1,5
HIMACHAL PRADESH,2002,Student,19,12,31
HIMACHAL PRADESH,2002,Unemployed,25,4,29
HIMACHAL PRADESH,2002,Self-employed (Business activity),29,1,30
HIMACHAL PRADESH,2002,Professional Activity,12,1,13
HIMACHAL PRADESH,2002,Farming/Agriculture Activity,24,1,25
HIMACHAL PRADESH,2002,Others (Please Specify),18,1,19
HIMACHAL PRADESH,2002,Retired Person,0,0,0
HIMACHAL PRADESH,2002,Others (Please Specify),54,20,74
HIMACHAL PRADESH,2002,Total,208,126,334
HIMACHAL PRADESH,2002,Total Salaried,27,3,30
HIMACHAL PRADESH,2002,Total Self-employed,83,4,87
HIMACHAL PRADESH,2003,House Wife,0,72,72
HIMACHAL PRADESH,2003,Service (Government),14,2,16
HIMACHAL PRADESH,2003,Service (Private),30,2,32
HIMACHAL PRADESH,2003,Public Sector Undertaking,2,0,2
HIMACHAL PRADESH,2003,Student,11,19,30
HIMACHAL PRADESH,2003,Unemployed,41,1,42
HIMACHAL PRADESH,2003,Self-employed (Business activity),13,0,13
HIMACHAL PRADESH,2003,Professional Activity,2,0,2
HIMACHAL PRADESH,2003,Farming/Agriculture Activity,29,5,34
HIMACHAL PRADESH,2003,Others (Please Specify),42,6,48
HIMACHAL PRADESH,2003,Retired Person,1,0,1
HIMACHAL PRADESH,2003,Others (Please Specify),55,39,94
HIMACHAL PRADESH,2003,Total,240,146,386
HIMACHAL PRADESH,2003,Total Salaried,46,4,50
HIMACHAL PRADESH,2003,Total Self-employed,86,11,97
HIMACHAL PRADESH,2004,House Wife,0,75,75
HIMACHAL PRADESH,2004,Service (Government),13,1,14
HIMACHAL PRADESH,2004,Service (Private),49,2,51
HIMACHAL PRADESH,2004,Public Sector Undertaking,2,0,2
HIMACHAL PRADESH,2004,Student,11,12,23
HIMACHAL PRADESH,2004,Unemployed,34,12,46
HIMACHAL PRADESH,2004,Self-employed (Business activity),11,1,12
HIMACHAL PRADESH,2004,Professional Activity,1,0,1
HIMACHAL PRADESH,2004,Farming/Agriculture Activity,43,9,52
HIMACHAL PRADESH,2004,Others (Please Specify),29,10,39
HIMACHAL PRADESH,2004,Retired Person,0,0,0
HIMACHAL PRADESH,2004,Others (Please Specify),43,13,56
HIMACHAL PRADESH,2004,Total,236,135,371
HIMACHAL PRADESH,2004,Total Salaried,64,3,67
HIMACHAL PRADESH,2004,Total Self-employed,84,20,104
HIMACHAL PRADESH,2005,House Wife,0,75,75
HIMACHAL PRADESH,2005,Service (Government),14,2,16
HIMACHAL PRADESH,2005,Service (Private),29,0,29
HIMACHAL PRADESH,2005,Public Sector Undertaking,7,1,8
HIMACHAL PRADESH,2005,Student,10,15,25
HIMACHAL PRADESH,2005,Unemployed,19,8,27
HIMACHAL PRADESH,2005,Self-employed (Business activity),7,0,7
HIMACHAL PRADESH,2005,Professional Activity,4,0,4
HIMACHAL PRADESH,2005,Farming/Agriculture Activity,20,0,20
HIMACHAL PRADESH,2005,Others (Please Specify),64,15,79
HIMACHAL PRADESH,2005,Retired Person,0,0,0
HIMACHAL PRADESH,2005,Others (Please Specify),40,29,69
HIMACHAL PRADESH,2005,Total,214,145,359
HIMACHAL PRADESH,2005,Total Salaried,50,3,53
HIMACHAL PRADESH,2005,Total Self-employed,95,15,110
HIMACHAL PRADESH,2006,House Wife,0,78,78
HIMACHAL PRADESH,2006,Service (Government),21,1,22
HIMACHAL PRADESH,2006,Service (Private),47,10,57
HIMACHAL PRADESH,2006,Public Sector Undertaking,40,1,41
HIMACHAL PRADESH,2006,Student,20,20,40
HIMACHAL PRADESH,2006,Unemployed,32,0,32
HIMACHAL PRADESH,2006,Self-employed (Business activity),17,0,17
HIMACHAL PRADESH,2006,Professional Activity,4,0,4
HIMACHAL PRADESH,2006,Farming/Agriculture Activity,22,0,22
HIMACHAL PRADESH,2006,Others (Please Specify),2,0,2
HIMACHAL PRADESH,2006,Retired Person,1,0,1
HIMACHAL PRADESH,2006,Others (Please Specify),95,46,141
HIMACHAL PRADESH,2006,Total,301,156,457
HIMACHAL PRADESH,2006,Total Salaried,108,12,120
HIMACHAL PRADESH,2006,Total Self-employed,45,0,45
HIMACHAL PRADESH,2007,House Wife,0,56,56
HIMACHAL PRADESH,2007,Service (Government),11,0,11
HIMACHAL PRADESH,2007,Service (Private),46,4,50
HIMACHAL PRADESH,2007,Public Sector Undertaking,12,3,15
HIMACHAL PRADESH,2007,Student,13,22,35
HIMACHAL PRADESH,2007,Unemployed,23,4,27
HIMACHAL PRADESH,2007,Self-employed (Business activity),25,3,28
HIMACHAL PRADESH,2007,Professional Activity,8,2,10
HIMACHAL PRADESH,2007,Farming/Agriculture Activity,14,1,15
HIMACHAL PRADESH,2007,Others (Please Specify),66,23,89
HIMACHAL PRADESH,2007,Retired Person,1,0,1
HIMACHAL PRADESH,2007,Others (Please Specify),39,26,65
HIMACHAL PRADESH,2007,Total,258,144,402
HIMACHAL PRADESH,2007,Total Salaried,69,7,76
HIMACHAL PRADESH,2007,Total Self-employed,113,29,142
HIMACHAL PRADESH,2008,House Wife,0,87,87
HIMACHAL PRADESH,2008,Service (Government),19,2,21
HIMACHAL PRADESH,2008,Service (Private),39,10,49
HIMACHAL PRADESH,2008,Public Sector Undertaking,16,7,23
HIMACHAL PRADESH,2008,Student,20,16,36
HIMACHAL PRADESH,2008,Unemployed,29,9,38
HIMACHAL PRADESH,2008,Self-employed (Business activity),31,1,32
HIMACHAL PRADESH,2008,Professional Activity,9,5,14
HIMACHAL PRADESH,2008,Farming/Agriculture Activity,150,38,188
HIMACHAL PRADESH,2008,Others (Please Specify),66,18,84
HIMACHAL PRADESH,2008,Retired Person,3,0,3
HIMACHAL PRADESH,2008,Others (Please Specify),35,20,55
HIMACHAL PRADESH,2008,Total,417,213,630
HIMACHAL PRADESH,2008,Total Salaried,74,19,93
HIMACHAL PRADESH,2008,Total Self-employed,256,62,318
HIMACHAL PRADESH,2009,House Wife,0,94,94
HIMACHAL PRADESH,2009,Service (Government),26,6,32
HIMACHAL PRADESH,2009,Service (Private),35,7,42
HIMACHAL PRADESH,2009,Public Sector Undertaking,18,6,24
HIMACHAL PRADESH,2009,Student,25,25,50
HIMACHAL PRADESH,2009,Unemployed,52,12,64
HIMACHAL PRADESH,2009,Self-employed (Business activity),16,1,17
HIMACHAL PRADESH,2009,Professional Activity,3,0,3
HIMACHAL PRADESH,2009,Farming/Agriculture Activity,24,0,24
HIMACHAL PRADESH,2009,Others (Please Specify),36,7,43
HIMACHAL PRADESH,2009,Retired Person,4,1,5
HIMACHAL PRADESH,2009,Others (Please Specify),127,35,162
HIMACHAL PRADESH,2009,Total,366,194,560
HIMACHAL PRADESH,2009,Total Salaried,79,19,98
HIMACHAL PRADESH,2009,Total Self-employed,79,8,87
HIMACHAL PRADESH,2010,House Wife,0,88,88
HIMACHAL PRADESH,2010,Service (Government),20,3,23
HIMACHAL PRADESH,2010,Service (Private),38,7,45
HIMACHAL PRADESH,2010,Public Sector Undertaking,12,6,18
HIMACHAL PRADESH,2010,Student,33,33,66
HIMACHAL PRADESH,2010,Unemployed,52,3,55
HIMACHAL PRADESH,2010,Self-employed (Business activity),19,5,24
HIMACHAL PRADESH,2010,Professional Activity,21,1,22
HIMACHAL PRADESH,2010,Farming/Agriculture Activity,59,2,61
HIMACHAL PRADESH,2010,Others (Please Specify),37,22,59
HIMACHAL PRADESH,2010,Retired Person,7,0,7
HIMACHAL PRADESH,2010,Others (Please Specify),50,24,74
HIMACHAL PRADESH,2010,Total,348,194,542
HIMACHAL PRADESH,2010,Total Salaried,70,16,86
HIMACHAL PRADESH,2010,Total Self-employed,136,30,166
HIMACHAL PRADESH,2011,House Wife,0,65,65
HIMACHAL PRADESH,2011,Service (Government),10,3,13
HIMACHAL PRADESH,2011,Service (Private),41,5,46
HIMACHAL PRADESH,2011,Public Sector Undertaking,21,7,28
HIMACHAL PRADESH,2011,Student,22,24,46
HIMACHAL PRADESH,2011,Unemployed,17,6,23
HIMACHAL PRADESH,2011,Self-employed (Business activity),19,5,24
HIMACHAL PRADESH,2011,Professional Activity,5,2,7
HIMACHAL PRADESH,2011,Farming/Agriculture Activity,42,4,46
HIMACHAL PRADESH,2011,Others (Please Specify),35,21,56
HIMACHAL PRADESH,2011,Retired Person,0,0,0
HIMACHAL PRADESH,2011,Others (Please Specify),57,32,89
HIMACHAL PRADESH,2011,Total,269,174,443
HIMACHAL PRADESH,2011,Total Salaried,72,15,87
HIMACHAL PRADESH,2011,Total Self-employed,101,32,133
HIMACHAL PRADESH,2012,House Wife,0,80,80
HIMACHAL PRADESH,2012,Service (Government),6,4,10
HIMACHAL PRADESH,2012,Service (Private),32,7,39
HIMACHAL PRADESH,2012,Public Sector Undertaking,20,8,28
HIMACHAL PRADESH,2012,Student,29,18,47
HIMACHAL PRADESH,2012,Unemployed,40,4,44
HIMACHAL PRADESH,2012,Self-employed (Business activity),32,4,36
HIMACHAL PRADESH,2012,Professional Activity,6,2,8
HIMACHAL PRADESH,2012,Farming/Agriculture Activity,27,2,29
HIMACHAL PRADESH,2012,Others (Please Specify),37,12,49
HIMACHAL PRADESH,2012,Retired Person,3,0,3
HIMACHAL PRADESH,2012,Others (Please Specify),122,33,155
HIMACHAL PRADESH,2012,Total,354,174,528
HIMACHAL PRADESH,2012,Total Salaried,58,19,77
HIMACHAL PRADESH,2012,Total Self-employed,102,20,122
JAMMU & KASHMIR,2001,House Wife,0,36,36
JAMMU & KASHMIR,2001,Service (Government),9,0,9
JAMMU & KASHMIR,2001,Service (Private),2,0,2
JAMMU & KASHMIR,2001,Public Sector Undertaking,1,0,1
JAMMU & KASHMIR,2001,Student,5,1,6
JAMMU & KASHMIR,2001,Unemployed,12,3,15
JAMMU & KASHMIR,2001,Self-employed (Business activity),2,0,2
JAMMU & KASHMIR,2001,Professional Activity,2,0,2
JAMMU & KASHMIR,2001,Farming/Agriculture Activity,12,3,15
JAMMU & KASHMIR,2001,Others (Please Specify),8,4,12
JAMMU & KASHMIR,2001,Retired Person,0,0,0
JAMMU & KASHMIR,2001,Others (Please Specify),38,15,53
JAMMU & KASHMIR,2001,Total,91,62,153
JAMMU & KASHMIR,2001,Total Salaried,12,0,12
JAMMU & KASHMIR,2001,Total Self-employed,24,7,31
JAMMU & KASHMIR,2002,House Wife,0,53,53
JAMMU & KASHMIR,2002,Service (Government),11,0,11
JAMMU & KASHMIR,2002,Service (Private),8,0,8
JAMMU & KASHMIR,2002,Public Sector Undertaking,2,0,2
JAMMU & KASHMIR,2002,Student,8,4,12
JAMMU & KASHMIR,2002,Unemployed,16,4,20
JAMMU & KASHMIR,2002,Self-employed (Business activity),0,0,0
JAMMU & KASHMIR,2002,Professional Activity,0,0,0
JAMMU & KASHMIR,2002,Farming/Agriculture Activity,15,1,16
JAMMU & KASHMIR,2002,Others (Please Specify),24,17,41
JAMMU & KASHMIR,2002,Retired Person,0,0,0
JAMMU & KASHMIR,2002,Others (Please Specify),12,9,21
JAMMU & KASHMIR,2002,Total,96,88,184
JAMMU & KASHMIR,2002,Total Salaried,21,0,21
JAMMU & KASHMIR,2002,Total Self-employed,39,18,57
JAMMU & KASHMIR,2003,House Wife,0,41,41
JAMMU & KASHMIR,2003,Service (Government),5,0,5
JAMMU & KASHMIR,2003,Service (Private),0,0,0
JAMMU & KASHMIR,2003,Public Sector Undertaking,0,0,0
JAMMU & KASHMIR,2003,Student,2,2,4
JAMMU & KASHMIR,2003,Unemployed,4,0,4
JAMMU & KASHMIR,2003,Self-employed (Business activity),0,0,0
JAMMU & KASHMIR,2003,Professional Activity,0,0,0
JAMMU & KASHMIR,2003,Farming/Agriculture Activity,5,3,8
JAMMU & KASHMIR,2003,Others (Please Specify),5,2,7
JAMMU & KASHMIR,2003,Retired Person,0,0,0
JAMMU & KASHMIR,2003,Others (Please Specify),42,27,69
JAMMU & KASHMIR,2003,Total,63,75,138
JAMMU & KASHMIR,2003,Total Salaried,5,0,5
JAMMU & KASHMIR,2003,Total Self-employed,10,5,15
JAMMU & KASHMIR,2004,House Wife,0,29,29
JAMMU & KASHMIR,2004,Service (Government),4,0,4
JAMMU & KASHMIR,2004,Service (Private),0,0,0
JAMMU & KASHMIR,2004,Public Sector Undertaking,0,1,1
JAMMU & KASHMIR,2004,Student,3,3,6
JAMMU & KASHMIR,2004,Unemployed,6,0,6
JAMMU & KASHMIR,2004,Self-employed (Business activity),0,0,0
JAMMU & KASHMIR,2004,Professional Activity,0,0,0
JAMMU & KASHMIR,2004,Farming/Agriculture Activity,1,0,1
JAMMU & KASHMIR,2004,Others (Please Specify),5,10,15
JAMMU & KASHMIR,2004,Retired Person,0,0,0
JAMMU & KASHMIR,2004,Others (Please Specify),32,18,50
JAMMU & KASHMIR,2004,Total,51,61,112
JAMMU & KASHMIR,2004,Total Salaried,4,1,5
JAMMU & KASHMIR,2004,Total Self-employed,6,10,16
JAMMU & KASHMIR,2005,House Wife,0,32,32
JAMMU & KASHMIR,2005,Service (Government),18,0,18
JAMMU & KASHMIR,2005,Service (Private),34,0,34
JAMMU & KASHMIR,2005,Public Sector Undertaking,0,0,0
JAMMU & KASHMIR,2005,Student,20,4,24
JAMMU & KASHMIR,2005,Unemployed,27,13,40
JAMMU & KASHMIR,2005,Self-employed (Business activity),0,0,0
JAMMU & KASHMIR,2005,Professional Activity,0,0,0
JAMMU & KASHMIR,2005,Farming/Agriculture Activity,1,1,2
JAMMU & KASHMIR,2005,Others (Please Specify),33,28,61
JAMMU & KASHMIR,2005,Retired Person,7,0,7
JAMMU & KASHMIR,2005,Others (Please Specify),56,20,76
JAMMU & KASHMIR,2005,Total,196,98,294
JAMMU & KASHMIR,2005,Total Salaried,52,0,52
JAMMU & KASHMIR,2005,Total Self-employed,34,29,63
JAMMU & KASHMIR,2006,House Wife,0,42,42
JAMMU & KASHMIR,2006,Service (Government),24,3,27
JAMMU & KASHMIR,2006,Service (Private),8,4,12
JAMMU & KASHMIR,2006,Public Sector Undertaking,2,0,2
JAMMU & KASHMIR,2006,Student,7,15,22
JAMMU & KASHMIR,2006,Unemployed,26,8,34
JAMMU & KASHMIR,2006,Self-employed (Business activity),2,0,2
JAMMU & KASHMIR,2006,Professional Activity,0,5,5
JAMMU & KASHMIR,2006,Farming/Agriculture Activity,30,4,34
JAMMU & KASHMIR,2006,Others (Please Specify),20,17,37
JAMMU & KASHMIR,2006,Retired Person,2,0,2
JAMMU & KASHMIR,2006,Others (Please Specify),31,12,43
JAMMU & KASHMIR,2006,Total,152,110,262
JAMMU & KASHMIR,2006,Total Salaried,34,7,41
JAMMU & KASHMIR,2006,Total Self-employed,52,26,78
JAMMU & KASHMIR,2007,House Wife,0,53,53
JAMMU & KASHMIR,2007,Service (Government),12,2,14
JAMMU & KASHMIR,2007,Service (Private),10,1,11
JAMMU & KASHMIR,2007,Public Sector Undertaking,5,2,7
JAMMU & KASHMIR,2007,Student,14,10,24
JAMMU & KASHMIR,2007,Unemployed,25,3,28
JAMMU & KASHMIR,2007,Self-employed (Business activity),3,0,3
JAMMU & KASHMIR,2007,Professional Activity,3,0,3
JAMMU & KASHMIR,2007,Farming/Agriculture Activity,31,2,33
JAMMU & KASHMIR,2007,Others (Please Specify),16,1,17
JAMMU & KASHMIR,2007,Retired Person,4,0,4
JAMMU & KASHMIR,2007,Others (Please Specify),30,7,37
JAMMU & KASHMIR,2007,Total,153,81,234
JAMMU & KASHMIR,2007,Total Salaried,27,5,32
JAMMU & KASHMIR,2007,Total Self-employed,53,3,56
JAMMU & KASHMIR,2008,House Wife,0,75,75
